#,DOI,Publication_Year ,Journal_Name,Inclusion_Exclusion,Covidence_ID,Study_Title,Authors,Study_Country,Country_Class,Region,Study_Type,Corruption_Type,Corruption_Scenarios,Corruption_Scenarios2,Corruption_Scenarios3,Corruption_Scenarios4,Corruption_Scenarios5,Settings,Settings_Class,Target_Population,Public_Sector_Actors ,Private_Sector_Actors,General_Public,Students ,Demographic_Group,Target_Population_Other,Data_Source,Data_Type,Data_Collection_Methods,Data_Collection_Methods2,Data_Collection_Methods3,Data_Collection_Methods4,Techniques_Class,Data_Analysis_Techniques,Data_Analysis_Techniques2,Data_Analysis_Techniques3,Methodological_Approach,Quality_Appraisal_Total_Score
109,10.1515/peps-2017-0043,2018,"Peace Economics, Peace Science and Public Policy",Included,5382,external territorial threats and tolerance of corruption a privategovernment distinction,"Miller, Steven V.",na,N/A,N/A,Empirical ,Government Corruption,Not mentioned ,,,,,Government and private sector,Public and Private Sector,Citizens,,,Citizens ,,,,Secondary data ,"Survey data sets (Globalbarometer, Latinobar‚àö‚â•metro, World Values Survey)",Surveys,,,,Surveys,Descriptive Statistics,Regression Analysis,Comparative and Correlational Analysis,Quantitative,Medium Quality
110,10.1111/gove.12193,2017,Governance,Included,5385,an insideroutsider theory of popular tolerancefor corrupt politicians,"Chang, Eric C.C.; Kerr, Nicholas N.",africa region,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Patronage,,,,,Citizens,Real-World Setting,African countries,,,Citizens ,,,,Secondary data ,survey data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
111,10.1002/pad.1798,2017,Public Administration and Development,Included,5387,socially embedded anticorruption governance evidence from hong kong,"Gong, Ting; Xiao, Hanyu",hong kong,Asia,East Asia,Empirical ,Not Mentioned,Not mentioned ,,,,,Not mentioned,Not Classified,Local residents,,,Citizens ,,,,Primary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics, Regression Analysis,Correlational analysis,Quantitative,High Quality
112,10.21467/ajss.7.1.145-162,2020,Advanced Journal of Social Science,Included,5390,analyzing citizens propensity to confront and report corruptionevidence from uganda,"Nakirijja, Deborah Sarah; Oijun, Liu",uganda,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Not clear,,,,,Not mentioned,Not Classified,Citizens,,,Citizens ,,,,Primary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics,,,Quantitative,High Quality
113,10.1080/12294659.2014.915475,2014,International Review of Public Administration,Included,5395,relation between personal values and corruptionpermissiveness of government servants in indiaand the moderating role of dissatisfaction with thefinancial condition of the family,"Pande, Sanjay; Jain, Neetu",india,Asia,South Asia,Empirical ,Not Mentioned,Not mentioned ,,,,,Governmental organizations,Public Sector,Government employees of India,Civil servants ,,,,,,Secondary data ,World Value Survey data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,Medium Quality
114,10.1080/17448689.2017.1387716,2017,Journal of Civil Society,Included,5401,localization formalism and passivity symbolsshaping bribe offers in azerbaijan,"Sadigov, Turkhan",azerbaijan,Asia,Central Asia,Empirical ,Not Mentioned,Bribery,,,,,Real-world,Real-World Setting,Azerbaijan citizens,,,Citizens ,,,,Primary data ,Survey data,Surveys,Interviews,10 in-depth interviews,,"Surveys, Interviews",Regression Analysis,,,Mixed-approach,Low Quality
115,10.1017/s1743923x13000378,2013,Politics & Gender,Included,5402,fairer sex or purity myth corruption gender and institutional context,"Esarey, Justin; Chirillo, Gina",na,N/A,N/A,Empirical ,Not Mentioned,Bribery,,,,,Democratic and Autocratic Institutions,Real-World Setting,Women,,,,,,,Secondary data ,"World Values Survey sample contains cross-sectional data from
1999 ‚Äö√Ñ√¨ 2002. Attitudinal data. w",Surveys,,,,Surveys,Regression Analysis,,,Quantitative,Medium Quality
116,10.2139/ssrn.3764864,2020,CEIS: Centre for Economic & International Studies ,Excluded,5404,corruption bias and information a study in the lab,"Corrado, Germana; Corrado, Luisa; Marazzi, Francesca",na,N/A,N/A,Empirical ,Not Mentioned,Bribery,,,,,Experimental lab,Educational Setting,citizens and bureaucrats,Civil servants ,,Citizens ,,,,Primary data ,Experimental data,Experiments (Public Good game),,,,Experiments,Descriptive Statistics,Regression Analysis,,Quantitative,High Quality
117,10.17072/2218-1067-2022-2-109-122,2005,Bulletin of Perm University. Political Science,Included,5406,the effects of corruption perception on political participation evidence from africa,"National Research University Higher School of Economics; Toklo, S.",benin botswana cape verde ghana kenya lesotho madagascar malawi mali mozambique namibia nigeria senegal south africa tanzania uganda zambia and zimbabwe,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Bribery,,,,,Political elections,Real-World Setting,Voters,,,Citizens ,,,,Secondary data ,Afrobarometer Surveys data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
118,10.24913/rjap.22.2.03,2020,Romanian Journal of Applied Psychology,Included,5408,perceived organizational injustice and corrupt tendencies in public sector employees mediating role of life satisfaction,"Ogungbamila, B.; Ojogo, B. F",nigeria,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Not mentioned ,,,,,Public sector,Public Sector,Civil servants,Civil servants ,,,,,,Primary data ,Questionnaire data,Questionnaire,,,,Surveys,Regression Analysis,,,Quantitative,Low Quality
119,10.46585/sp28020109,2020,"Scientific Papers of the University of Pardubice, Series D: Faculty of Economics and Administration",Included,5416,youth attitudes towards intolerance to corruption in lithuania,"Toleikiene, Rita; Balciunas, Sigitas; Jukneviciene, Vita",lithuania,Europe,Baltic States,Empirical ,Everyday Corruption,Bribery,,,,,Not clear,Not Classified,"16-29 year old residents of ‚âà‚Ä†iauliai region (students of general education and vocational schools, as well as students of universities and colleges, the employed).",,,,,Young adutlts ,,Primary data ,Quantitative,Surveys,,,,Surveys,Descriptive Statistics,,,Quantitative,High Quality
120,10.2139/ssrn.778464,2005,SSRN Electronic Journal,Excluded,5418,do attitudes towards corruption differ across cultures experimental evidence from australia india indonesia and singapore,"Cameron, Lisa A.; Chaudhuri, Ananish; Erkal, Nisvan; Gangadharan, Lata",australia india indonesia and singapore,"Oceania, Asia",Southeast Asia,Empirical ,Not Mentioned,Bribery,,,,,"three-person sequential-move game involving a firm, a government official and a citizen.",Educational Setting,Third year undergraduate or postgraduate students,,,,"University, College students ",,,Primary data ,Experimental,Surveys,"Experiments (three-person, sequential-move bribery game)
",,,"Experiments, Surveys",Multivariate Analysis,,,Quantitative,High Quality
121,10.56741/jmsd.v3i02.535,2024,Journal of Management Studies and Development,Included,5419,whistleblowing and corrupt tendencies among selected employees in three public organizations,"Ogungbamila, Bolanle; Osamika, Bamidele Emmanuel; Job, Emmanuel Dada",nigeria,Africa,Sub-Saharan Africa,Empirical ,Public Sector Corruption,Whistleblowing,,,,,Public Sector,Public Sector,"Employees in public sector (110 health workers; 116 police 
personnel; 105 teachers)",Civil servants ,,,,,,Primary data ,Survey data,Surveys,,,,Surveys,Regression Analysis,Correlational Analysis,,Quantitative,High Quality
122,10.1017/s1744137420000648,2022,Journal of Institutional Economics,Included,5420,individualism and attitudes towards reporting corruption evidence from postcommunist economies,"Amini, Chiara; Douarin, Elodie; Hinks, Tim",baltic states the european union member states of central eastern and southeastern europe the rest of the balkans and finally the former soviet union state,Europe,"Baltic States, EU Countries, Eastern Europe, Russia & Former Soviet States",Empirical ,Not Mentioned,Bribery,,,,,"We focus on ex-communist countries only, because there, corruption rates are some of the highest in the world and have even sometimes
increased in the transitional period following the collapse of communism (Havrylyshyn, 2020: 219). In this paper, we consider corruption as taking place both in the private and the public spheres.",Real-World Setting,Households,,,,,,,Secondary data ,"We use the third round of the Life in Transition Survey (LITS3), conducted between 2015 and 2016 by the World Bank and European Bank of Reconstruction and Development.",Surveys,,,,Surveys,Correlational Analysis,,,Quantitative,High Quality
123,10.1111/padm.12795,2019,Public Administration,Included,5422,corruption in social relations bribetaking corruptibility and corruption risks,"Su, Su; Ni, Xing",china,Asia,East Asia,Empirical ,Public Sector Corruption,Bribery,,,,,Public sector,Public Sector,Bureaucrats,Civil servants ,,,,,,Primary data ,Survey and vignettes data,Surveys,Interviews,Experiments,Vignettes,"Experiments, Surveys, Interviews",Regression Analysis,,,Quantitative,High Quality
124,10.1007/s10611-013-9478-2,2013,"Crime, Law and Social Change",Included,5425,sources of tolerance towards corrupted politicians in greece the role of trade offs and individual benefits,"Konstantinidis, Iannis; Xezonakis, Georgios",greece,Europe,Southern Europe,Empirical ,Political Corruption,Bribery,Clientelism,Partisanship,,,Not mentioned,Not Classified,Greek voters,,,Citizens ,,,,Primary data ,Survey experiment data,Experiments,,,,Experiments,Regression Analysis,,,Quantitative,Low Quality
125,10.2139/ssrn.4922854,2024,SSRN Electronic Journal,Included,5426,corruption as a shared dilemma survey evidence from legislators and citizens in three countries,"Fisman, Raymond; Ferroni, Matteo; Golden, Miriam A.",italy colombia and pakistan,"Europe, The Americas, Asia","Southern Europe, South America, South Asia",Empirical ,Everyday Corruption,Bribery,,,,,Public sector,Public Sector,Legislators and citizens,Civil servants ,,Citizens ,,,,Primary data ,Experimental data,Surveys,Vignettes,,,"Surveys, Vignettes",Descriptive Statistics; Regression Analysis,,,Quantitative,High Quality
126,10.1016/j.ssaho.2024.100983,2024,Social Sciences & Humanities Open,Included,5431,demographic variables and perceptions of corruption among undergraduates evidence from a nigerian federal university,"Owan, Valentine Joseph; Chuktu, Onyinye; Nwosu, Patience Okwudiri; Undie, Roseline Anyiopi; Uchegbue, Henrietta Osayi; Edoho, Gloria Emmanuel; Egaga, Moses Musa; Anam, Blessing Bassey; Ofem, Usani Joseph; Enamhe, Dorn C.; Owan, Mercy Valentine",nigeria,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Bribery ,Academic cheating,Academic dishonesty,,,Educational settings,Educational Setting,Undergraduate students,,,,University students ,,,Primary data ,Demographic Variables and the Perception of Corruption Questionnaire (DVPCQ) data,Surveys,,,,Surveys,Descriptive Statistics; Regression Analysis,,,Quantitative,High Quality
127,10.2139/ssrn.3178719,2018,SSRN Electronic Journal,Included,5435,cultural social emotional and cognitive aspects of corruption in turkey,"Akin, Mustafa Seref",turkey,Asia,Middle East,Empirical ,Everyday Corruption,Bribery,,,,,Not mentioned,Not Classified,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,,Primary data ,Behavioral data,Interviews,,,,Interviews ,Qualitative Analysis,,,Qualitative,Low Quality
128,10.1002/ejsp.2134,2016,European Journal of Social Psychology,Included,5437,absolute power leads to absolute corruption impact of power oncorruption depending on the concepts of power one holds,"Wang, Fang; Sun, Xunwei",china,Asia,East Asia,Empirical ,Not Mentioned,Not clear,,,,,Not clear,Not Classified,The sample in Study 1 consisted of working adults in order that we were able to measure rather stable power concepts and their relation to the general opinion on corrupt practice.,,,Citizens ,,,,Primary data ,Quantitative data,Experiments,,,,Experiments,Descriptive Statistics; Regression Analysis,,,Quantitative,High Quality
129,10.3390/economies11070179,2023,Economies,Excluded,5439,examining determinants of corruption at the individual level in south asia,"Han, Jinwon",south asia,Asia,South Asia,Empirical ,Not Mentioned,Bribery,,,,,Not mentioned,Not Classified,Young adults,,,,,Young adutlts ,,Primary data ,World Value Survey (WVS) data,Surveys,,,,Surveys,Multinomial logistic regression ,Binomial logistic regression ,,Quantitative,High Quality
130,10.1111/kykl.12304,2022,Kyklos,Included,5441,corruption and life satisfaction evidence from atransition survey,"Andriani, Luca; Ashyrov, Gaygysyz","Albania
Bosnia and Herzegovina
Bulgaria
Croatia
Czech Republic
Estonia
Hungary
Latvia
Lithuania
Macedonia (North Macedonia)
Moldova
Poland
Romania
Serbia
Slovakia
Slovenia
Ukraine
Armenia
Azerbaijan
Georgia
Kazakhstan
Kyrgyzstan
Tajikistan
Uzbekistan
Russia
Belarus
Mongolia
Lithuania
Moldova (execpt Turkmenistan)",Europe,"Eastern Europe, Russia & Former Soviet States",Empirical ,Everyday Corruption,Bribery,,,,,transition economies,Real-World Setting,Citizens,,,Citizens ,,,,Secondary data ,Life in Transition Survey data,Surveys,Interviews,,,"Surveys, Interviews",Regression Analysis,,,Quantitative,High Quality
131,10.1111/disa.12585,2023,Disasters,Included,5447,disasters and corruption public expectations and toleranceevidence from mexico,"Gawronski, Vincent T.; Levitt, Barry S.; Olson, Richard S.",mexico,The Americas,North America,Empirical ,Disaster Corruption,Bribery,,,,,Disaster setting,Real-World Setting,Mexicans,,,Citizens ,,,,Primary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics,,,Quantitative,Low Quality
132,10.1007/s10611-022-10034-1,2023,"Crime, Law and Social Change",Included,5449,are women less corrupt than men evidence from ghana,"Asomah, Joseph Yaw; Dim, Eugene Emeka; Li, Yiyan; Cheng, Hongming",ghana,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Bribery,,,,,Not mentioned,Not Classified,Adults,,,,,Adults ,,Secondary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics,Multivariate Analysis,Univariate Analysis,Quantitative,High Quality
133,10.21680/2176-9036.2024v16n2id36730,2024,REVISTA AMBIENTE CONTÁBIL,Included,5450,service to demands and corruption tolerance brazilian voters perception of rouba mas faz policy,"Costa Neto, João Antonio Da; Dantas Júnio, Amarando Francisco R; Sousa, Rossana Guerra De; Vasconcelos, Adriana Fernandes De",brazil,The Americas,South America,Empirical ,Political Corruption,Embezzlement,,,,,Not mentioned,Not Classified,Voters,,,Citizens ,,,,Primary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics,,,Quantitative,High Quality
134,10.1080/1068316x.2023.2292512,2023,"Psychology, Crime & Law",Included,5455,are intrinsic motivation extrinsic motivation andorganisational identity always beneficial to the organisation the different effects of black and grey corruption,"Jeong, Jisu; Han, Seunghui",south korea,Asia,East Asia,Empirical ,Public Sector Corruption,Bribery,Black and Grey Corruption,,,,Public sector institutions,Public Sector,Civil servants,Civil servants ,,,,,,Primary data ,Survey data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
135,10.1080/15578771.2023.2203956,2024,International Journal of Construction Education and Research,Included,5457,effects of building contractors value systems on corruption manifestations in nigerias construction sector,"Oluseye, Olugboyega; Oyeyemi, Oyetunji Aisha; Ehis, Oseghale Godwin; Aigbavboa, Clinton",nigeria,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned,Bribery,,,,,Construction sector,Private Sector,Building contractors,,Private Sector Professionals ,,,,,Primary data ,Survey data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
136,10.1016/j.jebo.2023.10.009,2023,Journal of Economic Behavior & Organization,Included,5458,direct lying or playing the victim an experimental study,"Akın, Zafer",united states and canada,The Americas,North America,Empirical ,Everyday Corruption,Fraud,,,,,Experimental Lab,Educational Setting,University students,,,,University students ,,,Primary data ,experimental,Surveys,Experiments (Dictator game),,,"Experiments, Surveys",Inferential Statistics,,,Quantitative,High Quality
137,https://doi.org/10.4324/9781315733869 ,2017,Taiwan Journal of Democracy,Included,5388,"CORRUPTION EXPERIENCE, CORRUPTION TOLERANCE, AND INSTITUTIONAL TRUST IN EAST ASIAN DEMOCRACIES","Chang, Eric C.C; Huang, Shih-hao ","Japan, South Korea, Mongolia, the Philippines, Taiwan, Thailand, and Indonesia.",Asia,"East Asia, Southeast Asia",Empirical ,Not Mentioned ,Not mentioned ,,,,,Not mentioned,Not Classified,Citizens,,,Citizens ,,,,Secondary data ,"We rely on data from the third wave of the Asian Barometer Surveys 
(ABS).",Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality 
138,https://wwjmrd.com/archive/2023/1/2012/effects-of-values-clarification-and-emotional-intelligence-training-in-fostering-zero-tolerance-for-corruption-among-customs-officers-in-the-south-west-nigeria,2023,World Wide Journal of Multidisciplinary Research and Development,Included,5446,EFFECTS OF VALUES CLARIFICATION AND EMOTIONAL INTELLIGENCE TRAINING IN FOSTERING ZERO-TOLERANCE FOR CORRUPTION AMONG CUSTOMS OFFICERS IN THE SOUTH-WEST NIGERIA,"Adeyemo,D.A; Agokei, Stanley Peter",Nigeria,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned ,Bribery ,,,,,Government Institutions (Nigeria Customs Service) ,Public Sector,Customs officers ,Civil servants ,,,,,,Primary data ,Experimental ,Experiments,,,,Experiments,Inferential Statistics,Multivariate Analysis,,Quantitative,High Quality 
139,https://www.researchgate.net/publication/258519467_Experience_Attitudes_and_Corrupt_Behavior_Insights_from_an_Experiment_on_Bribery,2011,,Excluded,5415,"EXPERIENCE, ATTITUDES AND CORRUPT BEHAVIOR: INSIGHTS FROM AN EXPERIMENT ON BRIBERY","Campos-Ortiz, Francisco",Mexico,The Americas,North America,Empirical ,Everyday Corruption ,Bribery ,,,,,Real-world setting,Real-World Setting,University students ,,,,University students ,,,Primary data ,Experimental,Surveys,Experiments,,,"Experiments, Surveys",Regression Analysis,,,Quantitative,High Quality 
140,https://www.semanticscholar.org/paper/Individual-psychological-characteristics-of-and-of-Dzhaneryan-Kirik/edf252484c72a96588322b11527ea2f723becf54,2017,Revista ESPACIOS,Included,5317,INDIVIDUAL PSYCHOLOGICAL CHARACTERISTICS OF SCHOOLCHILDREN AND COLLEGE STUDENTS WITH DIFFERENT TYPES OF ATTITUDE TO BRIBERY,"S. Dzhaneryan; V. A. Kirik, D. I. Gvozdeva; E. A. Panina",Russia,Europe,Russia & Former Soviet States,Empirical ,Not Mentioned ,Bribery ,,,,,Educational Institutions,Educational Setting,Schoolchildren and college students from 15 to 18 years old,,,,"School children, College students ",,,Primary data ,Survey data ,Surveys,,,,Surveys,Multiple Linear Regression Analysis,Content Analysis,Factor Analysis,Mixed-approach,Low Quality 
141,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://static1.squarespace.com/static/5b85162bcc8fedc767ff5676/t/64a771e934124a607931cf8b/1688695276116/JGB%2B1719.edited.pdf&ved=2ahUKEwj-gMCzuMCLAxXihf0HHay5Fd4QFnoECBMQAw&usg=AOvVaw1aShFrM-Nqtd0u4x7_496K,n.d,Journal of Global Business,Included,5445,IS THERE A PERSONALITY TRAIT WHICH CORRELATES TO GRAY CORRUPTION TOLERANCE IN A PHILIPPINE SHIPPING COMPANY?,"Mateo, Soren",Philippine,Asia,Southeast Asia,Empirical ,Not Mentioned ,Business transactions without official receipts,"""grease money"" for transaction facilitation",giving of gifts and extra payments.,,,Companies,Private Sector,Employees of the operations department of a Philippine Shipping Company,,Private Sector Professionals ,,,,,Primary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics; Regression Analysis,,,Quantitative ,Low Quality 
142,https://www.researchgate.net/publication/337706132_Operationalizing_High-Level_Corruption_Tolerance_in_Peru_Attitude-Behavior_Congruency_and_the_2006_Presidential_Elections,2014,,Included,5417,OPERATIONALIZING HIGH-LEVEL CORRUPTION TOLERANCE IN PERU: ATTITUDE-BEHAVIOR CONGRUENCY AND THE 2006 PRESIDENTIAL ELECTIONS,"Pozsgai-Alvarez, Joseph",Peru,The Americas,South America,Empirical ,Political Corruption,Not mentioned ,,,,,Not mentioned ,Not Classified,Citizens,,,Citizens ,,,,Secondary data ,LAPOP‚Äôs AmericasBarometer on casted votes for the Peruvian presidential elections of 2006 data. ,Surveys,,,,Surveys,Regression Analysis,,,Quantitative ,High Quality 
143,https://ajpssi.org/index.php/ajpssi/article/view/614,2024,AFRICAN JOURNAL FOR THE PSYCHOLOGICAL STUDIES OF SOCIAL ISSUES,Included,5434,"PERCEIVED OCCUPATIONAL RISK AND CORRUPTION TOLERANCE IN HEALTHCARE 
WORKERS: MEDIATORY ROLES OF PERCEIVED ORGANIZATIONAL SUPPORT","Ogunbamila, Adepeju; Ogunbamila, Bolanle; Ajileye, Tolulope Abraham ",Nigeria ,Africa,Sub-Saharan Africa,Empirical ,Not Mentioned ,Not mentioned ,,,,,Public healthcare facilities ,Public Sector,healthcare workers,Civil servants ,,,,,,Primary data ,Survey data ,Surveys,,,,Surveys,Regression Analysis,,,Quantitative ,High Quality 
144,https://www.ceeol.com/search/article-detail?id=1262725,2023, Journal of Comparative Research in Anthropology and Sociology,Included,5377,PUBLIC TOLERANCE OF CORRUPTION: ROMANIA IN THE EUROPEAN CONTEXT,"Ivan, Bogdan",EU Countries,Europe,EU Countries,Empirical ,Not Mentioned ,Not mentioned ,,,,,Health sector ,Public Sector,Romanians ,,,Citizens ,,,,Secondary data ,Eurobarometer 523 (97.2) data ,Surveys,,,,Surveys,Descriptive Statistics,Regression Analysis,Correlational Analysis / Secondary Analysis ,Quantitative,High Quality 
145,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.policija.si/images/stories/Publikacije/RKK/PDF/2014/04/RKK2014-04_JiriBurianek_TolerantTowardsCrimeConcernedWithCorruption.pdf&ved=2ahUKEwiyz9fNvMCLAxWA9bsIHQRoBdwQFnoECCAQAQ&usg=AOvVaw2g5lc3I6WyD-3mHqOzeUJ-,2014,Journal of Criminal Investigation & Criminology / Revija za Kriminalistiko in Kriminologijo,Included,5249,"TOLERANT TOWARDS CRIME, CONCERNED WITH CORRUPTION: THE CZECH CASE","Burianek, Jiri",Czech Republic,Europe,Eastern Europe,Empirical ,Everyday Corruption ,Bribery ,,,,,Government institutions,Public Sector,Adults,,,,,Adults ,,Secondary data ,Observational ,Surveys,,,,Surveys,Descriptive Statistics,,,Quantitative,Low Quality 
146,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://docsdrive.com/%3Fpdf%3Dmedwelljournals/sscience/2016/6475-6480.pdf&ved=2ahUKEwjay63avMCLAxXJg_0HHS6-BU0QFnoECBUQAQ&usg=AOvVaw3D9_iXOkqaSUAd8adDP1tr,2016,The Social Sciences,Included,5310,TYPES OF ATTITUDES IN STUDENTS TO BRIBERY AS THE FORM OF CORRUPTION,"Dzhaneryan, Svetlana",Russia,Europe,Russia & Former Soviet States,Empirical ,Not clear ,Bribery,,,,,University,Educational Setting,University students,,,,University students ,,,Primary data ,Survey data,Surveys,,,,Surveys,Factor Analysis by Principal Component Analysis,Content Analysis,,Mixed-approach,Low Quality
147,10.1037/xge0001664,2024,Journal of Experimental Psychology: General,Included,147,Does Governmental Corruption Aid or Hamper Early Moral Development? Insights From the Dominican Republic and United States Contexts ,"Reyes-Jaquez, B., & Koenig, M. A. (2024). Does governmental corruption aid or hamper early moral development? Insights from the Dominican Republic and United States contexts. Journal of Experimental Psychology: General, 153(11), 2810–2821. https://doi.org/10.1037/xge0001664",Dominican Republic ,Dominican Republic ,North America (Caribbean),Empirical (Studies are classified as empirical if they collect numerical data and analyze it using a statistical method),Petty Corruption,Bribery,,,,,The study was conducted in a private space in participants’ schools. ,Educational Setting,Children,,,,,,,Primary Data,Experimental and vignettes data,,,,,Experiments,,,,,High Quality
148,10.26754/ojs_ried/ijds.10548 ,2024,Iberoamerican Journal of Development Studies,Included,148,Youth's tolerance of corruption: exploring the influence of sensitivity to monetary inequity and sociodemographic factors ,"Gutiérrez-Romero MF, Giraldo-Huertas JJ, Alonso-Díaz S, Ibarra-Barajas M, Moreno-Sierra M, Rome- ro-Mora S, Rubiano-Quintero MJ (2024). Youth’s tolerance of corruption: exploring the influence of sensitivity to monetary inequity and sociodemographic factors. Iberoamerican Journal of Development Studies 13(2):120-148. DOI: 10.26754/ojs_ried/ijds.10548",Colombia,Colombia,South America,Empirical (Studies are classified as empirical if they collect numerical data and analyze it using a statistical method),Petty Corruption,Bribery ,,,,,Not mentioned,Not Classified,"University students, Young Adults",,,,,,,Primary Data,Experimental,,,,,Experiments,,,,,High Quality
149,10.1108/QROM-09-2023-2603 ,2024,Qualitative Research in Organizations and Management: An International Journal,Included,149,"A grounded theory of tolerance of corruption in public organizations: emotion, rationalization and whistleblowing – the Colombian case","Diego Alejandro Peralta-Borray, Johana Sareth Acuña, Sebastián Zapata; A grounded theory of tolerance of corruption in public organizations: emotion, rationalization and whistleblowing – the Colombian case. Qualitative Research in Organizations and Management: An International Journal 3 December 2024; 19 (3): 203–225. https://doi.org/10.1108/QROM-09-2023-2603",Colombia ,Colombia ,South America,Empirical (Studies are classified as empirical if they collect numerical data and analyze it using a statistical method),Bureaucratic corruption,Not mentioned,,,,,Not mentioned,Not Classified,Civil servants,,,,,,,Primary Data,Interview data,,,,,Interviews,,,,,High Quality
150,10.1002/pchj.737 ,2024,PsyCh Journal ,Included,150,Dispositional awe negatively predicts corruption via the sense of connectedness ,"Jiao, L., & Luo, L. (2024). Dispositional awe negatively predicts corruption via the sense of connectedness. PsyCh Journal, 13(4), 608–615. https://doi.org/10.1002/pchj.737",China ,China ,East Asia ,Empirical (Studies are classified as empirical if they collect numerical data and analyze it using a statistical method),Everyday Corruption,Bribery,,,,,Online,Online Setting,"University, Citizens",,,,,,,Primary Data,Survey data,,,,,Surveys,,,,,Medium Quality
